,author1,,author2,,code,code2,,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anne Perkins,3,Catherine Bennett,,Anne PerkinsCatherine Bennettcoref+voice,Catherine BennettAnne Perkinscoref+voice,,coref+voice,0.658193154,0.495891624,0.820494685,0.053750162,0.001308452,-4.827704573,2.70616431,,7,John Harris,$A_{7},,,LV,lexico+voice,,0.93^{a},0.93^{a},0.87^{a},0.91^{a},0.94^{a},0.88^{a},0.85^{a},0.97^{a},0.83^{a},0.88^{a},0.96^{a},0.92^{a},0.87^{a},0.95^{a},0.86^{a},,,        & $ LV$ & $ 0.93^{a}$ & $ 0.93^{a}$ & $ 0.87^{a}$ & $ 0.91^{a}$ & $ 0.94^{a}$ & $ 0.88^{a}$ & $ 0.85^{a}$ & $ 0.97^{a}$ & $ 0.83^{a}$ & $ 0.88^{a}$ & $ 0.96^{a}$ & $ 0.92^{a}$ & $ 0.87^{a}$ & $ 0.95^{a}$ & $ 0.86^{a}$ \\
1,Anne Perkins,3,Catherine Bennett,,Anne PerkinsCatherine Bennettlexico+voice+coref,Catherine BennettAnne Perkinslexico+voice+coref,,lexico+voice+coref,0.963354911,0.919259676,1,8.22E-06,0.795209577,0.268363832,29.17502226,,8,Jonathan Freedland,$A_{8},,,CV,coref+voice,,0.67^{a},0.66^{},0.70^{a},0.68^{a},0.84^{a},0.71^{a},0.67^{a},0.59^{a},0.77^{a},0.77^{a},0.72^{a},0.64^{a},0.63^{},0.59^{},0.72^{a},,,        & $ CV$ & $ 0.67^{a}$ & $ 0.66^{}$ & $ 0.70^{a}$ & $ 0.68^{a}$ & $ 0.84^{a}$ & $ 0.71^{a}$ & $ 0.67^{a}$ & $ 0.59^{a}$ & $ 0.77^{a}$ & $ 0.77^{a}$ & $ 0.72^{a}$ & $ 0.64^{a}$ & $ 0.63^{}$ & $ 0.59^{}$ & $ 0.72^{a}$ \\
1,Anne Perkins,3,Catherine Bennett,,Anne PerkinsCatherine Bennettlexico+voice,Catherine BennettAnne Perkinslexico+voice,,lexico+voice,0.925819261,0.853209107,0.998429414,8.33E-05,0.378878766,-0.931437472,16.28234818,,9,Kevin McKenna,$A_{9},,,LCV,lexico+voice+coref,,0.87^{a},0.96^{a},0.85^{a},0.93^{a},0.92^{a},0.88^{a},0.81^{a},0.93^{a},0.81^{a},0.94^{a},0.94^{a},0.91^{a},0.86^{a},0.96^{a},0.87^{a},,,        & $ LCV$ & $ 0.87^{a}$ & $ 0.96^{a}$ & $ 0.85^{a}$ & $ 0.93^{a}$ & $ 0.92^{a}$ & $ 0.88^{a}$ & $ 0.81^{a}$ & $ 0.93^{a}$ & $ 0.81^{a}$ & $ 0.94^{a}$ & $ 0.94^{a}$ & $ 0.91^{a}$ & $ 0.86^{a}$ & $ 0.96^{a}$ & $ 0.87^{a}$ \\  \hline
1,Anne Perkins,3,Catherine Bennett,,Anne PerkinsCatherine Bennettlexico+coref,Catherine BennettAnne Perkinslexico+coref,,lexico+coref,0.946361447,0.903415227,0.989307668,8.58E-06,0.699193035,-0.400609967,28.85697588,,10,Marina Hyde,$A_{10},2,Barbara Ellen,L,lexico_syntactic,,,0.98^{a},0.96^{a},0.93^{a},1.00^{a},1.00^{a},0.99^{a},1.00^{a},0.99^{a},0.89^{a},1.00^{a},0.99^{a},0.99^{a},1.00^{a},0.99^{a},,,$A_{2}$  & $ L$ & $ $ & $ 0.98^{a}$ & $ 0.96^{a}$ & $ 0.93^{a}$ & $ 1.00^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 0.89^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 0.99^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ \\
1,Anne Perkins,4,Emma Brockes,,Anne PerkinsEmma Brockeslexico_syntactic,Emma BrockesAnne Perkinslexico_syntactic,,lexico_syntactic,0.861818182,0.719734812,1,0.002111535,1,0,7.070273735,,11,Oliver Burkeman,$A_{11},,,C,coref,,,0.68^{a},0.59^{},0.47^{},0.72^{a},0.69^{a},0.60^{a},0.65^{a},0.62^{a},0.68^{a},0.77^{a},0.76^{a},0.61^{a},0.73^{a},0.74^{a},,,        & $ C$ & $ $ & $ 0.68^{a}$ & $ 0.59^{}$ & $ 0.47^{}$ & $ 0.72^{a}$ & $ 0.69^{a}$ & $ 0.60^{a}$ & $ 0.65^{a}$ & $ 0.62^{a}$ & $ 0.68^{a}$ & $ 0.77^{a}$ & $ 0.76^{a}$ & $ 0.61^{a}$ & $ 0.73^{a}$ & $ 0.74^{a}$ \\
1,Anne Perkins,4,Emma Brockes,,Anne PerkinsEmma Brockescoref,Emma BrockesAnne Perkinscoref,,coref,0.663181818,0.496116169,0.830247468,0.053432191,0.036107118,-2.514673242,2.711900155,,12,Paul Mason,$A_{12},,,V,voice,,,0.76^{a},0.58^{},0.57^{},0.72^{a},0.68^{},0.61^{a},0.67^{a},0.65^{a},0.73^{a},0.63^{},0.65^{a},0.59^{a},0.83^{a},0.63^{a},,,        & $ V$ & $ $ & $ 0.76^{a}$ & $ 0.58^{}$ & $ 0.57^{}$ & $ 0.72^{a}$ & $ 0.68^{}$ & $ 0.61^{a}$ & $ 0.67^{a}$ & $ 0.65^{a}$ & $ 0.73^{a}$ & $ 0.63^{}$ & $ 0.65^{a}$ & $ 0.59^{a}$ & $ 0.83^{a}$ & $ 0.63^{a}$ \\
1,Anne Perkins,4,Emma Brockes,,Anne PerkinsEmma Brockesvoice,Emma BrockesAnne Perkinsvoice,,voice,0.709545455,0.641182451,0.777908458,0.001045711,0.027868492,-2.68133027,8.510326101,,13,Simon Jenkins,$A_{13},,,LC,lexico+coref,,,0.98^{a},0.97^{a},0.95^{a},1.00^{a},1.00^{a},0.99^{a},1.00^{a},0.98^{a},0.89^{a},1.00^{a},0.99^{a},0.98^{a},1.00^{a},0.98^{a},,,        & $ LC$ & $ $ & $ 0.98^{a}$ & $ 0.97^{a}$ & $ 0.95^{a}$ & $ 1.00^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 1.00^{a}$ & $ 0.98^{a}$ & $ 0.89^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 0.98^{a}$ & $ 1.00^{a}$ & $ 0.98^{a}$ \\
1,Anne Perkins,4,Emma Brockes,,Anne PerkinsEmma Brockescoref+voice,Emma BrockesAnne Perkinscoref+voice,,coref+voice,0.703787879,0.610853304,0.796722453,0.003680058,0.032397312,-2.584332733,6.088217033,,14,Suzanne Moore,$A_{14},,,LV,lexico+voice,,,0.99^{a},0.98^{a},0.94^{a},1.00^{a},1.00^{a},0.99^{a},1.00^{a},0.99^{a},0.90^{a},1.00^{a},0.99^{a},1.00^{a},0.99^{a},0.98^{a},,,        & $ LV$ & $ $ & $ 0.99^{a}$ & $ 0.98^{a}$ & $ 0.94^{a}$ & $ 1.00^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 0.90^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 0.98^{a}$ \\
1,Anne Perkins,4,Emma Brockes,,Anne PerkinsEmma Brockeslexico+voice+coref,Emma BrockesAnne Perkinslexico+voice+coref,,lexico+voice+coref,0.845151515,0.725085152,0.965217879,0.001335687,0.809815091,-0.248758025,7.981371362,,15,Will Hutton,$A_{15},,,CV,coref+voice,,,0.74^{a},0.60^{a},0.55^{},0.76^{a},0.72^{a},0.64^{},0.67^{a},0.60^{},0.70^{a},0.68^{},0.77^{a},0.61^{a},0.79^{a},0.71^{a},,,        & $ CV$ & $ $ & $ 0.74^{a}$ & $ 0.60^{a}$ & $ 0.55^{}$ & $ 0.76^{a}$ & $ 0.72^{a}$ & $ 0.64^{}$ & $ 0.67^{a}$ & $ 0.60^{}$ & $ 0.70^{a}$ & $ 0.68^{}$ & $ 0.77^{a}$ & $ 0.61^{a}$ & $ 0.79^{a}$ & $ 0.71^{a}$ \\
1,Anne Perkins,4,Emma Brockes,,Anne PerkinsEmma Brockeslexico+voice,Emma BrockesAnne Perkinslexico+voice,,lexico+voice,0.867727273,0.771624782,0.963829763,0.00044443,0.926154771,0.095645278,10.62380984,,16,Zoe Williams,$A_{16},,,LCV,lexico+voice+coref,,,0.99^{a},0.97^{a},0.95^{a},1.00^{a},0.98^{a},0.99^{a},0.97^{a},0.99^{a},0.92^{a},1.00^{a},0.99^{a},1.00^{ab},1.00^{a},0.98^{a},,,        & $ LCV$ & $ $ & $ 0.99^{a}$ & $ 0.97^{a}$ & $ 0.95^{a}$ & $ 1.00^{a}$ & $ 0.98^{a}$ & $ 0.99^{a}$ & $ 0.97^{a}$ & $ 0.99^{a}$ & $ 0.92^{a}$ & $ 1.00^{a}$ & $ 0.99^{a}$ & $ 1.00^{ab}$ & $ 1.00^{a}$ & $ 0.98^{a}$ \\  \hline
1,Anne Perkins,4,Emma Brockes,,Anne PerkinsEmma Brockeslexico+coref,Emma BrockesAnne Perkinslexico+coref,,lexico+coref,0.886818182,0.784166952,0.989469412,0.000471657,0.702464426,0.395989293,10.46241185,,,,,3,Catherine Bennett,L,lexico_syntactic,,,,0.98^{a},0.99^{a},0.99^{a},0.98^{a},0.99^{a},1.00^{a},0.96^{a},0.89^{a},1.00^{a},0.98^{a},0.98^{a},0.99^{a},0.97^{a},,,$A_{3}$  & $ L$ & $ $ & $ $ & $ 0.98^{a}$ & $ 0.99^{a}$ & $ 0.99^{a}$ & $ 0.98^{a}$ & $ 0.99^{a}$ & $ 1.00^{a}$ & $ 0.96^{a}$ & $ 0.89^{a}$ & $ 1.00^{a}$ & $ 0.98^{a}$ & $ 0.98^{a}$ & $ 0.99^{a}$ & $ 0.97^{a}$ \\
1,Anne Perkins,5,Gaby Hinsliff,,Anne PerkinsGaby Hinslifflexico_syntactic,Gaby HinsliffAnne Perkinslexico_syntactic,,lexico_syntactic,0.926388889,0.8905244,0.962253378,5.02E-06,1,0,33.0088445,,,,,,,C,coref,,,,0.59^{a},0.55^{},0.74^{a},0.58^{a},0.73^{a},0.77^{a},0.75^{a},0.68^{a},0.80^{a},0.81^{a},0.72^{a},0.80^{a},0.75^{a},,,        & $ C$ & $ $ & $ $ & $ 0.59^{a}$ & $ 0.55^{}$ & $ 0.74^{a}$ & $ 0.58^{a}$ & $ 0.73^{a}$ & $ 0.77^{a}$ & $ 0.75^{a}$ & $ 0.68^{a}$ & $ 0.80^{a}$ & $ 0.81^{a}$ & $ 0.72^{a}$ & $ 0.80^{a}$ & $ 0.75^{a}$ \\
