type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
lexico_syntactic,0.8350049776007964,0.8123292868816946,0.8576806683198982,7.490456566455109e-08,1.0,0.0,94.58665186299662
coref,0.17331648784174916,0.16522532753196822,0.1814076481515301,2.856412586879178e-06,9.696272179448859e-13,-76.30593501032196,38.02617714439598
voice,0.17535027561159966,0.13726454358421009,0.21343600763898923,0.0011902025771689622,1.2961540963119342e-10,-41.319640388128214,8.226770989112687
coref+voice,0.1926075714838781,0.1490908823439198,0.23612426062383643,0.0011500519827007153,3.597342509931513e-10,-36.3475064229599,8.301103257965643
lexico+voice+coref,0.8357851473922903,0.7973366232547586,0.8742336715298219,6.157819419656742e-07,0.9624860288951351,0.04852680256569925,55.84047269850073
lexico+voice,0.8344015587264716,0.816180559129062,0.8526225583238812,3.1334787464721103e-08,0.9554849725684704,-0.05759351455158604,117.61935962752236
lexico+coref,0.8402357216599377,0.7878948366450034,0.8925766066748719,2.0631544759128107e-06,0.8054537081623403,0.25460101136240815,41.255331027056414
