author1,author2,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
Anne Perkins,Emma Brockes,voice,0.7095454545454546,0.6411824512151415,0.7779084578757677,0.0010457106460322304,0.027868492459760013,-2.681330269802592,8.510326101065269
Anne Perkins,Emma Brockes,coref+voice,0.7037878787878787,0.6108533044299147,0.7967224531458428,0.003680057580673637,0.03239731217226743,-2.584332732900303,6.088217032983712
Anne Perkins,Emma Brockes,lexico+voice+coref,0.8451515151515153,0.7250851516931929,0.9652178786098378,0.0013356866263770763,0.8098150911209411,-0.2487580253704467,7.9813713615693285
Anne Perkins,Emma Brockes,lexico+voice,0.8677272727272728,0.7716247820598182,0.9638297633947274,0.0004444298514766001,0.9261547705040947,0.09564527841149625,10.62380984426587
Anne Perkins,Emma Brockes,lexico+coref,0.886818181818182,0.784166951570775,0.9894694120655889,0.0004716568391298165,0.7024644261838213,0.3959892925942907,10.462411847594323
Anne Perkins,Gaby Hinsliff,lexico_syntactic,0.9263888888888889,0.8905243997949761,0.9622533779828017,5.02316421989194e-06,1.0,0.0,33.00884449702689
Anne Perkins,Gaby Hinsliff,coref,0.5958333333333333,0.4836723582359206,0.7079943084307461,0.07663134200485852,5.266997742247687e-05,-7.793858859700564,2.3722688663952245
Anne Perkins,Gaby Hinsliff,voice,0.5111111111111111,0.3436226086384763,0.6785996135837458,0.8628266522960447,0.00014784442900301622,-6.731434832275044,0.18418810606294342
Anne Perkins,Gaby Hinsliff,coref+voice,0.6819444444444445,0.5516879406976725,0.8122009481912165,0.01786879397454263,0.001022474074401189,-5.023448073773448,3.8781845640335573
Anne Perkins,Gaby Hinsliff,lexico+voice+coref,0.9263888888888889,0.8905243997949761,0.9622533779828017,5.02316421989194e-06,1.0,0.0,33.00884449702689
Anne Perkins,Gaby Hinsliff,lexico+voice,0.913888888888889,0.8434147418609244,0.9843630359168536,8.278799926357316e-05,0.672350589074077,-0.4388938641847521,16.305834523904572
Anne Perkins,Gaby Hinsliff,lexico+coref,0.975,0.905588872370055,1.0,4.5202131079409634e-05,0.1223502113305294,1.7274737774114919,19.0
Anne Perkins,Ian Jack,lexico_syntactic,0.9474282296650717,0.8500072319174335,1.0,0.00021792745463770883,1.0,0.0,12.751459612422437
Anne Perkins,Ian Jack,coref,0.8122912766104985,0.7707874552359277,0.8537950979850693,3.1024360483557135e-05,0.007584469462312537,-3.543188096231799,20.891078402540398
Anne Perkins,Ian Jack,voice,0.7616415297136121,0.6029978557745846,0.9202852036526395,0.010190963875517442,0.024268461999248828,-2.7707528578636054,4.579024971200663
Anne Perkins,Ian Jack,coref+voice,0.8363811455516261,0.7619551283094295,0.9108071627938228,0.0002320603707899534,0.03609604559677826,-2.5148701336840045,12.548619685081462
Anne Perkins,Ian Jack,lexico+voice+coref,0.9180804035781153,0.8281425427665065,1.0,0.0002078459354182339,0.555920565550892,-0.6145534677834704,12.90643650647903
Anne Perkins,Ian Jack,lexico+voice,0.9430804035781153,0.8908004157931749,0.9953603913630557,1.9337290218100753e-05,0.9157466101034424,-0.10918267570574698,23.530770947844182
Anne Perkins,Ian Jack,lexico+coref,0.9283435614728521,0.8380244246973462,1.0,0.00019214447765088013,0.700430832744193,-0.39886053662311916,13.167446313734217
Anne Perkins,John Harris,lexico_syntactic,0.8676839156715317,0.794994982203778,0.9403728491392854,0.00014915270419966993,1.0,0.0,14.044148940210498
Anne Perkins,John Harris,coref,0.7033785444002162,0.5254208122579357,0.8813362765424967,0.033758918037119966,0.045027204796205,-2.3731114968671245,3.173053271159749
Anne Perkins,John Harris,voice,0.7512555899552803,0.6681184422062003,0.8343927377043603,0.0011037482072512848,0.01908051439218465,-2.9271739843680646,8.39092237071175
Anne Perkins,John Harris,coref+voice,0.7065187478500172,0.513914401878566,0.8991230938214685,0.04085899464753422,0.061472844673851806,-2.173597920038401,2.977025070268919
Anne Perkins,John Harris,lexico+voice+coref,0.8770332694481301,0.7948643563566042,0.959202182539656,0.0002187130441023916,0.8189023343425035,0.2366138794140548,12.739759308851596
Anne Perkins,John Harris,lexico+voice,0.8782102314610054,0.7675934398916063,0.9888270230304045,0.0006871976270160233,0.8307782417884932,0.22080121753753854,9.492952480156077
Anne Perkins,John Harris,lexico+coref,0.9002579979360166,0.827968161588978,0.9725478342830551,0.00010446974960532054,0.40339332793602944,0.8822064364866485,15.372760755063581
Anne Perkins,Jonathan Freedland,lexico_syntactic,0.8990262515262515,0.7702859031668449,1.0,0.0010021401075973573,1.0,0.0,8.605495456658348
Anne Perkins,Jonathan Freedland,coref,0.7490583028083029,0.6270448265164716,0.8710717791001341,0.0047803260827883306,0.04686649642397367,-2.347463006449264,5.667379758011855
Anne Perkins,Jonathan Freedland,voice,0.6129021672771673,0.4762947914963552,0.7495095430579795,0.08342840317964066,0.0028682818977111397,-4.232065184470921,2.2946540617680453
Anne Perkins,Jonathan Freedland,coref+voice,0.6662835775335776,0.518842697613888,0.8137244574532672,0.035142173783082764,0.010836884418582828,-3.3013582320045876,3.131270141424507
Anne Perkins,Jonathan Freedland,lexico+voice+coref,0.8116636141636142,0.6741961087077109,0.9491311196195176,0.003254598708740843,0.23378924168455273,-1.2878809209582043,6.2947015234112715
Anne Perkins,Jonathan Freedland,lexico+voice,0.8541582722832723,0.7013370312304226,1.0,0.0030009102176442,0.5503615125776349,-0.6234255522323529,6.4343215299903775
Anne Perkins,Jonathan Freedland,lexico+coref,0.8508661477411478,0.771836167562476,0.9298961279198196,0.00024887284963870577,0.4018925037365242,-0.8851572790533853,12.326468971308419
Anne Perkins,Kevin McKenna,lexico_syntactic,0.9498624011007912,0.8787402122208744,1.0,6.173999162600767e-05,1.0,0.0,17.561583539810208
Anne Perkins,Kevin McKenna,coref,0.47797926188019063,0.3249091824586193,0.6310493413017619,0.7099911575212574,5.422558275848817e-05,-7.762227351812103,-0.39942078031594236
Anne Perkins,Kevin McKenna,voice,0.5432989336085312,0.4371176288769014,0.649480238340161,0.3208260711039079,2.1270209283063113e-05,-8.832561144419602,1.1321871828711865
Anne Perkins,Kevin McKenna,coref+voice,0.5937633298933609,0.5224794643660033,0.6650471954207184,0.02173305873063555,9.730264886398201e-06,-9.818523779860223,3.6520008616754702
Anne Perkins,Kevin McKenna,lexico+voice+coref,0.9271055088702148,0.8584853526954802,0.9957256650449494,6.580027102087261e-05,0.5404837710702262,-0.6393216534747245,17.281146905088757
Anne Perkins,Kevin McKenna,lexico+voice,0.965032679738562,0.885808252421831,1.0,8.296106712271974e-05,0.7027287307996937,0.3956163840521756,16.297217299600202
Anne Perkins,Kevin McKenna,lexico+coref,0.9265133421789769,0.8633084495397396,0.9897182348182141,4.778194784727255e-05,0.5148981180881036,-0.6813289369086744,18.735747056063097
Anne Perkins,Marina Hyde,lexico_syntactic,0.8581944444444444,0.7702170423309835,0.9461718465579052,0.00034904321559755977,1.0,0.0,11.304121150386406
Anne Perkins,Marina Hyde,coref,0.7304166666666667,0.6305045515336651,0.8303287817996683,0.0030556072289916222,0.028586987560540428,-2.6649096704914084,6.403019548440629
Anne Perkins,Marina Hyde,voice,0.7156944444444444,0.6109874324163267,0.8204014564725621,0.004624219021893617,0.020107817391601196,-2.892954249557052,5.719423875215915
Anne Perkins,Marina Hyde,coref+voice,0.7716666666666667,0.6659934330291776,0.8773399003041559,0.0020375785287182783,0.11874298269885294,-1.7471692915230175,7.13773546004635
Anne Perkins,Marina Hyde,lexico+voice+coref,0.8126388888888888,0.7449182852788687,0.8803594924989089,0.00021354328633865866,0.28756150243143397,-1.1392460580806036,12.817734433507015
Anne Perkins,Marina Hyde,lexico+voice,0.8286111111111112,0.7027579816267222,0.9544642405955002,0.0019219660639638624,0.6072614324262169,-0.5349007398724324,7.2494876742117595
Anne Perkins,Marina Hyde,lexico+coref,0.8741666666666668,0.7834883492455659,0.9648449840877676,0.0003312873700468174,0.7346549672087223,0.35099657966447895,11.456467651142162
Anne Perkins,Oliver Burkeman,lexico_syntactic,0.8763888888888889,0.752270402016397,1.0,0.0010894720193904966,1.0,0.0,8.419560329316262
Anne Perkins,Oliver Burkeman,coref,0.7044444444444444,0.5212116621717365,0.8876772267171523,0.036296501715589555,0.06307417995515012,-2.1570956103807957,3.097856016931792
Anne Perkins,Oliver Burkeman,voice,0.7669444444444444,0.6042139118897958,0.9296749769990931,0.01038205459650744,0.17591608698865857,-1.4847219456530505,4.554502369668247
Anne Perkins,Oliver Burkeman,coref+voice,0.7658333333333334,0.6338214614326864,0.8978452052339804,0.005021464259837442,0.12871301300456842,-1.6940158406257868,5.590949105601847
Anne Perkins,Oliver Burkeman,lexico+voice+coref,0.9388888888888889,0.8437655937719233,1.0,0.00021403443022568485,0.2993786041192139,1.1096744199691368,12.81022598915335
Anne Perkins,Oliver Burkeman,lexico+voice,0.881388888888889,0.7344408380996239,1.0,0.001965984712887928,0.9442374632635981,0.07217110400184909,7.205984074269452
Anne Perkins,Oliver Burkeman,lexico+coref,0.9413888888888888,0.8860638814032951,0.9967138963744826,2.4587665573727673e-05,0.22080136952549034,1.3280457331370827,22.150779109489665
Anne Perkins,Paul Mason,lexico_syntactic,0.9602272727272727,0.8852325605038117,1.0,6.958572883924069e-05,1.0,0.0,17.038478057422687
Anne Perkins,Paul Mason,coref,0.6267676767676768,0.3872233486789449,0.8663120048564086,0.21568417204879306,0.006144011887258542,-3.688437407832437,1.4693042346990526
Anne Perkins,Paul Mason,voice,0.6704545454545455,0.5097512114504226,0.8311578794586685,0.0421821974747048,0.0019075195503715002,-4.536677144544421,2.944915183737549
Anne Perkins,Paul Mason,coref+voice,0.7176010101010102,0.6483402200533174,0.786861800148703,0.0009514295334795369,0.00016959392956736454,-6.598826393373675,8.722933408137925
Anne Perkins,Paul Mason,lexico+voice+coref,0.9366161616161616,0.8551500713841289,1.0,0.00011877887173452534,0.5701793319359507,-0.592030112579762,14.880311566649699
Anne Perkins,Paul Mason,lexico+voice,0.9602272727272727,0.8852325605038117,1.0,6.958572883924069e-05,1.0,0.0,17.038478057422687
Anne Perkins,Paul Mason,lexico+coref,0.9636363636363636,0.8626747234473529,1.0,0.0002180252648983917,0.9418564623501275,0.07525914950784694,12.750000000000005
Anne Perkins,Simon Jenkins,lexico_syntactic,0.937232119628536,0.8710564762493884,1.0,5.194984203309035e-05,1.0,0.0,18.344377423316917
Anne Perkins,Simon Jenkins,coref,0.6419430022509529,0.5868128799222437,0.6970731245796621,0.0020260891837146676,1.2252339799590359e-05,-9.51868885920452,7.148486837503553
Anne Perkins,Simon Jenkins,voice,0.6595006051557004,0.5487525312060616,0.7702486791053392,0.016147985188617823,0.0003318128192774045,-5.976966367975755,3.998667052774289
Anne Perkins,Simon Jenkins,coref+voice,0.6416517357222844,0.5327004677779419,0.7506030036666269,0.022561356248667324,0.00020087430242852434,-6.437888271181197,3.6097631143661295
Anne Perkins,Simon Jenkins,lexico+voice+coref,0.9120392050403249,0.8248025064059982,0.9992759036746516,0.00019524797962545005,0.5408036569481018,-0.6388041687643415,13.113795591682887
Anne Perkins,Simon Jenkins,lexico+voice,0.918029369846279,0.8241984006226762,1.0,0.0002455061785224359,0.6547776565912464,-0.4643417172231688,12.369429915753958
Anne Perkins,Simon Jenkins,lexico+coref,0.9097771104098091,0.840048812648346,0.9795054081712723,8.257387772949245e-05,0.4506815951420897,-0.7929490721258202,16.316526990397872
Anne Perkins,Suzanne Moore,lexico_syntactic,0.8056324110671937,0.6449220314496635,0.966342790684724,0.006169600285119146,1.0,0.0,5.280129470895418
Anne Perkins,Suzanne Moore,coref,0.558975625823452,0.3698484042670222,0.7481028473798816,0.43545067260851256,0.02470056956093111,-2.7593234841153764,0.8657801150779572
Anne Perkins,Suzanne Moore,voice,0.6340085638998683,0.47787859090759954,0.790138536892137,0.07573664195654813,0.06613709033292255,-2.1266492000466597,2.383062099887763
Anne Perkins,Suzanne Moore,coref+voice,0.6334156785243742,0.4793906250643073,0.7874407319844411,0.07395898574054152,0.06397351096467709,-2.1480077505487194,2.4049419186968737
Anne Perkins,Suzanne Moore,lexico+voice+coref,0.8584486166007904,0.7243516975937967,0.9925455356077841,0.0017593162112871348,0.5034155616004621,0.7006007604300047,7.421594130542869
Anne Perkins,Suzanne Moore,lexico+voice,0.8705698287220025,0.7401604663004244,1.0,0.0013957565074040382,0.40905788481947203,0.8711393264737933,7.8895162738634035
Anne Perkins,Suzanne Moore,lexico+coref,0.841897233201581,0.7289411740575854,0.9548532923455767,0.0010973055790921334,0.622099562941892,0.5125718043043427,8.403789108763888
Anne Perkins,Will Hutton,lexico_syntactic,0.9588100686498855,0.858852153623349,1.0,0.00021842972072623682,1.0,0.0,12.743972990835799
Anne Perkins,Will Hutton,coref,0.5797189614352086,0.40581851041193456,0.7536194124584827,0.2720462186410674,0.0007763089535564685,-5.247370632191662,1.2727702485292263
Anne Perkins,Will Hutton,voice,0.5491253231893964,0.43167221135205924,0.6665784350267336,0.31011146617832064,7.803118958035089e-05,-7.375147447956412,1.161261383175217
Anne Perkins,Will Hutton,coref+voice,0.5865066420993195,0.4773368798060985,0.6956764043925404,0.09264560624811619,0.00011451882422335006,-6.98342839286227,2.20006838870499
Anne Perkins,Will Hutton,lexico+voice+coref,0.9631578947368421,0.8608678119137653,1.0,0.00023041532472990194,0.9348091609535852,0.08440402355387405,12.57142857142857
Anne Perkins,Will Hutton,lexico+voice,0.9528604118993135,0.8719546369561886,1.0,0.00010008332033507046,0.9009600901805437,-0.12845420225782217,15.54081985914595
Anne Perkins,Will Hutton,lexico+coref,0.9854736842105263,0.9569220677362583,1.0,1.2043616728874541e-06,0.4966234202076607,0.7121311506001976,47.20892196921451
Anne Perkins,Zoe Williams,lexico_syntactic,0.8390488046575003,0.6443091406249821,1.0,0.008437400771525551,1.0,0.0,4.8338914354771205
Anne Perkins,Zoe Williams,coref,0.698029976464759,0.6321807838471384,0.7638791690823795,0.0011247198202339681,0.09330472935254792,-1.9045975872772716,8.34967502230072
Anne Perkins,Zoe Williams,voice,0.665997708410752,0.5175231249382285,0.8144722918832755,0.036076610227602425,0.08539133866915011,-1.9620171502257173,3.1041240474425997
Anne Perkins,Zoe Williams,coref+voice,0.7213329617242661,0.6387754950511686,0.8038904283973636,0.00173982946088391,0.1608838143053661,-1.5451816831681349,7.443528041280358
Anne Perkins,Zoe Williams,lexico+voice+coref,0.8701900780379042,0.7403150575352561,1.0,0.001379518145721399,0.7214319800433004,0.3693776518712344,7.913857693213404
Anne Perkins,Zoe Williams,lexico+voice,0.861265390808869,0.667454609655517,1.0,0.00662762384342291,0.8279896591100319,0.22450848653786495,5.175323684367218
Anne Perkins,Zoe Williams,lexico+coref,0.8664607333085594,0.7076915858718718,1.0,0.0030460975533389816,0.769688954771552,0.3029052036357735,6.4084119973465095
Barbara Ellen,Catherine Bennett,lexico_syntactic,0.9825841336596486,0.9667020298113834,0.9984662375079137,1.1833907236624833e-07,1.0,0.0,84.3634047822835
Barbara Ellen,Catherine Bennett,coref,0.6798458003606744,0.597472991796246,0.7622186089251028,0.003739177664895764,8.365515267693156e-06,-10.019514097707482,6.061854643589324
Barbara Ellen,Catherine Bennett,voice,0.756753399362095,0.7311155742585002,0.7823912244656898,9.952200385291e-06,3.0036539705434954e-08,-20.790330994300227,27.80507769365469
Barbara Ellen,Catherine Bennett,coref+voice,0.7403435782955234,0.6701208249669656,0.8105663316240813,0.0006845017632298181,1.4079302186235746e-05,-9.341688590072568,9.50262870500344
Barbara Ellen,Catherine Bennett,lexico+voice+coref,0.9863280950123056,0.9744513935448941,0.998204796479717,3.589523842117489e-08,0.6143784752270969,0.5241553073557086,113.69009001548785
