author,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
Anne Perkins,lexico_syntactic,0.6001131045462995,0.5414935904913306,0.6587326186012684,0.00902561470251244,1.0,0.0,4.7417407592816385
Anne Perkins,coref,0.6985810909741572,0.5947100016753117,0.8024521802730027,0.00605429923236968,0.05108968499125019,2.2921927369414328,5.3080169057798265
Anne Perkins,voice,0.5915560977287602,0.4815558707901986,0.7015563246673218,0.0819504479183266,0.85358219388818,-0.19060628059620954,2.310908681415777
Anne Perkins,coref+voice,0.6899105859519474,0.5577398682908832,0.8220813036130117,0.016273629430564037,0.1229322729206731,1.7243466071925935,3.9893580523915
Anne Perkins,lexico+voice+coref,0.6084163460687642,0.5639992380541177,0.6528334540834106,0.0024743755370703075,0.7619528870332714,0.31345353811247056,6.776939040398415
Anne Perkins,lexico+voice,0.5934769718411774,0.5189238117736102,0.6680301319087446,0.02532460104305368,0.8508029639603338,-0.19427528066097263,3.481189538873138
Anne Perkins,lexico+coref,0.6118343366018376,0.5291171079724517,0.6945515652312235,0.019881859770208038,0.7564385209975801,0.32099618088018955,3.7537753814555006
Barbara Ellen,lexico_syntactic,0.9741346150448018,0.9414064994577305,1.0,2.2828888232991805e-06,1.0,0.0,40.2225642244434
Barbara Ellen,coref,0.6156152620406303,0.5942355033961019,0.6369950206851588,0.0001146593985530736,6.064247792116045e-09,-25.46292201536547,15.01417456183583
Barbara Ellen,voice,0.6390013863341664,0.6148622330057892,0.6631405396625435,8.948771494500238e-05,1.411928308624037e-08,-22.880282149390386,15.98770733394027
Barbara Ellen,coref+voice,0.6464036688782882,0.6009201365113209,0.6918872012452554,0.0008669525113299583,2.0800778257533974e-07,-16.23865032948541,8.936899327883625
Barbara Ellen,lexico+voice+coref,0.9700669956749823,0.9343826262472846,1.0,3.33661870947621e-06,0.8214318307956177,-0.2332404819330661,36.57386217518048
Barbara Ellen,lexico+voice,0.9588689328501545,0.9289418976990357,0.9887959680012733,1.8201162953769626e-06,0.36719878127947314,-0.9557184227073616,42.571019685239925
Barbara Ellen,lexico+coref,0.9643766618831151,0.9339892987554759,0.9947640250107543,1.8445007768707737e-06,0.560908801296874,-0.6066364080584689,42.42935803405576
Catherine Bennett,lexico_syntactic,0.9464198608033738,0.9157343094244635,0.9771054121822841,2.244833222733481e-06,1.0,0.0,40.39230783522678
Catherine Bennett,coref,0.6995194597505068,0.632430531856087,0.7666083876449266,0.0011736557265865446,1.4645057185372729e-05,-9.29202946145493,8.257023100559632
Catherine Bennett,voice,0.7237377246958792,0.65598652394851,0.7914889254432483,0.0007856462528170715,3.31028020866758e-05,-8.31266206207503,9.16877492542577
Catherine Bennett,coref+voice,0.7556779393495432,0.6813521657819862,0.8300037129171002,0.0006712556727239459,0.0001718833225536643,-6.585973172974968,9.550869491709637
Catherine Bennett,lexico+voice+coref,0.9647223098447533,0.9485916934019255,0.980852926287581,1.4641051877156874e-07,0.18086511146310855,1.4658253386432498,79.98925441057067
Catherine Bennett,lexico+voice,0.9437094836012841,0.9171633781685528,0.9702555890340155,1.2896151451482184e-06,0.8574794944570808,-0.18546608265901954,46.40737327727362
Catherine Bennett,lexico+coref,0.9328437784457503,0.8998657754625012,0.9658217814289993,3.3852480414385554e-06,0.4270084817296047,-0.8367703677018166,36.44147253523669
Emma Brockes,lexico_syntactic,0.8166544876865535,0.7031980826719033,0.9301108927012036,0.0014942606599376723,1.0,0.0,7.7490010569497905
Emma Brockes,coref,0.572795463747768,0.5057066210650476,0.6398843064304884,0.039448839485214965,0.000888692637873856,-5.136734920279867,3.012611351174062
Emma Brockes,voice,0.6084333286758359,0.4990589889700173,0.7178076683816544,0.05123960381121679,0.006323733953671522,-3.6684362515521074,2.7525577338531146
Emma Brockes,coref+voice,0.5493399499844875,0.4919334371298601,0.6067464628391149,0.07546983225466947,0.00038848973660005417,-5.836941647530133,2.386308727235156
Emma Brockes,lexico+voice+coref,0.8355618801115096,0.7356381181806326,0.9354856420423865,0.00073652519019061,0.7373805843632588,0.3472242366279202,9.323799680110728
Emma Brockes,lexico+voice,0.865077314456947,0.7479334030238849,0.9822212258900092,0.0009813414491574412,0.4336013553179916,0.8244015683041828,8.652751221491734
Emma Brockes,lexico+coref,0.8295274912540462,0.721848234641166,0.9372067478669265,0.0010521542421923179,0.8249937922536561,0.2284951776390119,8.49666889333788
Gaby Hinsliff,lexico_syntactic,0.8115124582417597,0.611963470785575,1.0,0.012308372562561141,1.0,0.0,4.334260228122554
Gaby Hinsliff,coref,0.5608022549953656,0.38938154663351254,0.7322229633572187,0.3804789197163406,0.02943711617453701,-2.6460180980494705,0.9847942228223702
Gaby Hinsliff,voice,0.6496939996698893,0.5525536287776889,0.7468343705620897,0.012862744594911137,0.07753279896133769,-2.0243581951758793,4.278521574950209
Gaby Hinsliff,coref+voice,0.5675801010066467,0.4061383824725865,0.7290218195407069,0.3097601983624274,0.02977866580378279,-2.6385848996155867,1.1622301989376507
Gaby Hinsliff,lexico+voice+coref,0.7557956032632701,0.660442552913578,0.8511486536129622,0.0017357698959584475,0.5040858798388856,-0.6994681807891187,7.448135618177602
Gaby Hinsliff,lexico+voice,0.7681050312153642,0.6525308137259554,0.883679248704773,0.0029899120988051094,0.6153954341656092,-0.5226252754926402,6.440700337555961
Gaby Hinsliff,lexico+coref,0.7985828113658012,0.69575725850226,0.9014083642293425,0.001285461281296061,0.8769114275725456,-0.15991570264665275,8.062186509348829
Ian Jack,lexico_syntactic,0.9109574417294839,0.8620974725392357,0.959817410919732,1.9931024989234433e-05,1.0,0.0,23.352466169016036
Ian Jack,coref,0.6595861321140993,0.5699565020499084,0.7492157621782902,0.007797395450091953,0.0001327518732045769,-6.836832698160928,4.943478345813927
Ian Jack,voice,0.685683202351558,0.6196388681207909,0.751727536582325,0.001453329240845076,6.226597039833463e-05,-7.613354658138963,7.805956775717929
Ian Jack,coref+voice,0.6962125195132872,0.6071435089764726,0.7852815300501018,0.0036183246335787576,0.0003746554737955524,-5.868942199127386,6.116305616261724
Ian Jack,lexico+voice+coref,0.9173634914013306,0.8881072851480086,0.9466196976546525,2.4275367435313463e-06,0.7627874798260997,0.3123137042400803,39.60823945373688
